Species name,Author,Symbiosis,Spine
Beella digitata,"Brady, 1879",symbiont-barren,spinose
Berggrenia pumilio,"Parker, 1962",undetermined,non-spinose
Bolivina variabilis,"Williamson, 1858",undetermined,undetermined
Candeina nitida,"d’Orbigny, 1839",symbiont-facultative,non-spinose
Dentigloborotalia anfracta,"Parker, 1967",undetermined,non-spinose
Globigerina bulloides,"d’Orbigny, 1826",symbiont-barren,spinose
Globigerina falconensis,"Blow, 1959",symbiont-obligate,spinose
Globigerinella adamsi,"Banner and Blow, 1959",symbiont-barren,spinose
Globigerinella calida,"Parker, 1962",symbiont-obligate,spinose
Globigerinella radians,"Egger, 1893",undetermined,spinose
Globigerinella siphonifera,"d’Orbigny, 1839",symbiont-obligate,spinose
Globigerinita glutinata,"Egger, 1893",symbiont-facultative,non-spinose
Globigerinita minuta,"Natland, 1938",undetermined,non-spinose
Globigerinita uvula,"Ehrenberg, 1862",symbiont-bearing,non-spinose
Globigerinoides conglobatus,"Brady, 1879",symbiont-obligate,spinose
Globigerinoides elongatus,"d’Orbigny, 1826",undetermined,spinose
Globigerinoides ruber albus,"Morard et al., 2019",symbiont-obligate,spinose
Globigerinoides ruber ruber,"d’Orbigny, 1839",symbiont-obligate,spinose
Globigerinoides tenellus,"Parker, 1958",symbiont-bearing,spinose
Globoquadrina conglomerata,"Schwager, 1866",undetermined,non-spinose
Globorotalia cavernula,"Bé, 1967",undetermined,non-spinose
Globorotalia crassaformis,"Galloway and Wissler, 1927",symbiont-barren,non-spinose
Globorotalia cultrata,"d’Orbigny, 1839",symbiont-facultative,non-spinose
Globorotalia eastropacia,"Boltovskoy, 1974",undetermined,non-spinose
Globorotalia hirsuta,"d’Orbigny, 1839",symbiont-barren,non-spinose
Globorotalia inflata,"d’Orbigny, 1839",symbiont-facultative,non-spinose
Globorotalia scitula,"Brady, 1882",symbiont-barren,non-spinose
Globorotalia truncatulinoides,"d’Orbigny, 1839",symbiont-barren,non-spinose
Globorotalia tumida,"Brady, 1877",symbiont-barren,non-spinose
Globorotalia ungulata,"Bermúdez, 1961",undetermined,non-spinose
Globorotaloides hexagonus,"Natland, 1938",symbiont-barren,non-spinose
Globorotaloides oveyi,"Buckley, 1973",undetermined,undetermined
Globoturborotalita rubescens,"Hofker, 1956",symbiont-bearing,spinose
Hastigerina pelagica,"d'Orbigny, 1839",symbiont-barren,spinose
Hastigerinella digitata,"Rhumbler, 1911",symbiont-barren,spinose
Neogallitellia vivans,"Cushman, 1934",undetermined,undetermined
Neogloboquadrina dutertrei,"d’Orbigny, 1839",symbiont-facultative,non-spinose
Neogloboquadrina incompta,"Cifelli, 1961",symbiont-barren,non-spinose
Neogloboquadrina pachyderma,"Ehrenberg, 1862",symbiont-barren,non-spinose
Orbulina universa,"d’Orbigny, 1839",symbiont-obligate,spinose
Orcadia riedeli,"Rögl and Bolli, 1973",undetermined,spinose
Pulleniatina obliquiloculata,"Parker and Jones, 1865",symbiont-facultative,non-spinose
Sphaeroidinella dehiscens,"Parker and Jones, 1865",symbiont-bearing,spinose
Tenuitellita fleisheri,"Li, 1987",symbiont-barren,non-spinose
Tenuitellita iota,"Parker, 1962",undetermined,non-spinose
Tenuitellita parkerae,"Brönnimann and Resig, 1971",undetermined,non-spinose
Trilobatus sacculifer,"Brady, 1877",symbiont-obligate,spinose
Turborotalita clarkei,"Rögl and Bolli, 1973",symbiont-barren,spinose
Turborotalita humilis,"Brady, 1884",symbiont-facultative,spinose
Turborotalita quinqueloba,"Natland, 1938",symbiont-barren,spinose