Core,Latitude,Longitude,Sediment depth [m],Age model [ka],Foram plankt [#/g],References
PS1533-3,84.0292,11.2383,0.73,,4261,https://doi.org/10.1594/PANGAEA.55894
PS1533-3,84.0292,11.2383,0.79,,2480,https://doi.org/10.1594/PANGAEA.55894
PS2876-1,81.759,-9.4355,0.17,19.46,1665.5,https://doi.org/10.1594/PANGAEA.56572
PS2876-1,81.759,-9.4355,0.27,19.9,164.8,https://doi.org/10.1594/PANGAEA.56572
PS2887-1,79.6,-4.607667,0.5,21.11,1404.8,https://doi.org/10.1594/PANGAEA.56571
PS2644-5,67.8667,-21.765,1.13,,862,https://doi.pangaea.de/10.1594/PANGAEA.57775
PS2644-5,67.8667,-21.765,1.17,,1766.1,https://doi.pangaea.de/10.1594/PANGAEA.57775
GIK12310-4,23.4983,-18.7167,1.22,,4707.7,https://doi.pangaea.de/10.1594/PANGAEA.509753
GIK12310-4,23.4983,-18.7167,1.11,,5358.5,https://doi.pangaea.de/10.1594/PANGAEA.509753
V26-124,16.133,-74.45,0.64,,499,https://doi.pangaea.de/10.1594/PANGAEA.727369