Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Laboratory,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,P/D integrade + N. pachyderma R,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,Datatype
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.18,Bremen,Niebler et al. (in press),M.W.,May-03,13.63,0,1.54,1.48,3.02,0,0.87,0.13,1,0,,0.13,0,40.77,0,0,0.07,0,0.54,0,11.69,7.39,11.69,0,0,0,19.14,0,0,0,1.14,,0,1.07,0,0,0,0,0,0,0.4,0,0,0,,0,,669,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.23,Bremen,Niebler et al. (in press),M.W.,May-03,6.01,0,6.49,2.11,8.6,0,0.65,0.16,0.81,0,,0.32,0.81,17.21,0,2.27,0,0,0.97,0,14.94,8.28,14.94,0,0,0,33.12,0.16,0.16,0.32,1.62,,0,1.79,0,0,0,0,0,0,2.27,0.65,0,0,,0,,479,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.28,Bremen,Niebler et al. (in press),M.W.,May-03,7.62,0,4.04,0.75,4.79,0,0.75,0.45,1.2,0,,0,0,35.13,0,1.2,0.6,0,0,0.3,8.97,4.78,8.97,0,0,0,29.75,0,0.15,0.15,0.75,,0,2.54,0,0.15,0,0,0.15,0,1.94,0.15,0,0,,0,,504,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.33,Bremen,Niebler et al. (in press),M.W.,May-03,9.26,0,3.97,1.65,5.62,0,0.77,0.77,1.54,0,,0.66,0,19.96,0,0,0,0,0,0,18.52,5.51,18.52,0,0,0,31.97,0,0.11,0.11,2.09,,0,2.98,0,0,0,0,0,0.11,0.66,0.99,0,0,,0,,477,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.38,Bremen,Niebler et al. (in press),M.W.,May-03,5.91,0,5.68,7.27,12.95,0,1.14,0,1.14,0,,0.68,0.23,20,0,0,0,0,0.45,0.91,17.73,1.82,17.73,0,0,0,31.59,0,0.23,0.23,2.5,,0,2.05,0,0,0,0,0,0.23,0.68,0.91,0,0,,0,,325,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.43,Bremen,Niebler et al. (in press),M.W.,May-03,13.43,0,7.79,7.3,15.09,0,1.99,0.17,2.16,0,,1.33,0,27.53,0,0,0,0,0,0,16.25,2.82,16.25,0,0,0,10.95,0,0.17,0.17,1,,0,4.64,0,0,0,0,0,0.17,1.99,2.49,0,0,,0,,386,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.48,Bremen,Niebler et al. (in press),M.W.,May-03,19.81,0.47,3.77,11.79,15.56,0,3.77,0.47,4.24,0,,1.89,1.42,21.23,0,0.47,0,0,0.47,0,8.96,0.47,8.96,0,0,0.47,11.79,0,0.47,0.47,1.89,,0,2.83,0,0.47,0,0,0.47,0,1.89,5.19,0,0,,0,,212,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.53,Bremen,Niebler et al. (in press),M.W.,May-03,8.59,0,2.83,5.11,7.94,0,3.8,0.65,4.45,0,,0.54,0.22,38.59,0,0.98,0.87,0,0.22,0.43,11.52,3.7,11.52,0,0,0.11,8.8,0,0,0,5.54,,0,5.11,0,0,0,0,0,0,1.09,1.3,0,0,,0,,612,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.58,Bremen,Niebler et al. (in press),M.W.,May-03,14.25,0,9.18,8.94,18.12,0,1.93,0,1.93,0,,2.66,0.48,27.29,0,1.45,0,0,0.24,0,5.31,1.21,5.31,0,0,0,15.7,0,0,0,6.52,,0,2.9,0,0,0,0,0,0,0.48,1.45,0,0,,0,,414,3
GeoB1008-3,,-6.5823,10.3186,-3124,South Atlantic,2.63,Bremen,Niebler et al. (in press),M.W.,May-03,10.93,0,2.15,2.81,4.96,0,0.5,0.17,0.67,0,,0.17,0.5,40.4,0,0.17,0.5,0,0,0.66,13.91,1.66,13.91,0,0,0.17,19.87,0,0,0,2.48,,0,1.49,0,0,0,0,0,0.17,0.17,1.16,0,0,,0,,604,3
GeoB1016-3,,-11.7705,11.6819,-3411,South Atlantic,0.73,Bremen,Niebler et al. (in press),M.W.,May-03,13.63,0,1.36,0.84,2.2,0.26,0.9,0.13,1.03,0,,0,0.32,24.68,0.26,3.23,0.52,0,0.26,0.26,8.85,4.07,8.85,0,0,0,26.81,0,0,0,1.49,,0,7.88,0,0,0,0,0,0,1.36,2.91,0,0,,0,,696,3
GeoB1016-3,,-11.7705,11.6819,-3411,South Atlantic,0.78,Bremen,Niebler et al. (in press),M.W.,May-03,8.67,0,4.34,3.47,7.81,0,6.07,4.62,10.69,0.87,,1.16,0,7.23,0,2.31,0.58,0,0.29,0,8.09,7.23,8.09,0,0,0,32.95,0,0,0,1.16,,0,1.73,0,2.31,0.87,0,3.18,0,4.05,2.02,0,0,,0,,346,3
GeoB1016-3,,-11.7705,11.6819,-3411,South Atlantic,0.88,Bremen,Niebler et al. (in press),M.W.,May-03,21.29,0,5.08,5.47,10.55,0,0.59,0.39,0.98,0,,0.59,0,8.01,0,0.78,0.2,0,0,0.39,21.88,4.49,21.88,0,0,0,23.83,0,0,0,1.17,,0,1.76,0,0,0,0,0,0,1.17,2.93,0,0,,0,,393,3
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.93,Bremen,Niebler et al. (in press),M.W.,May-03,0.69,0,0,1.18,1.18,0,0,0,0,0,,0.12,0.02,29.36,0,0.25,0.5,0,3.96,16.22,29.47,0.74,29.72,0,0,0,11.53,0.02,0.17,0.19,0.5,,0.2,0.99,0,0,0,0,0,0,3.84,0,0,0,,0,,469,3
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,0.98,Bremen,Niebler et al. (in press),M.W.,May-03,1.7,0,0,0.4,0.4,0,0,0,0,0,,0.7,4,28.3,2.2,0,0.1,0,3.4,13.5,29.9,0.9,29.9,0,0,0.4,7.3,0.1,1,1.1,1.3,,0.6,0,0,0,0,0,0,0,1.3,0,0,0,,0,,,1
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.03,Bremen,Niebler et al. (in press),M.W.,May-03,4.06,0,0,0.55,0.55,0,0,0,0,0,,0.52,0.6,28.89,0,0,0,0,1.11,13.26,32.06,1.04,32.82,0,0,0,9.07,0,0.35,0.35,0.14,,0.01,1.11,0,0,0,0,0,0,6.49,0,0,0,,0,,650,3
GeoB1028-5,,-20.104,9.1858,-2209,South Atlantic,1.08,Bremen,Niebler et al. (in press),M.W.,May-03,12.6,0,0,0.6,0.6,0,0,0,0,0,,0.3,5.1,17.8,4.4,0.1,0.6,0,1.1,8.9,32.3,0.6,32.3,0,0,0,7.2,0.6,0.2,0.8,1.7,,0,0,0,0,0,0,0,0,2.4,0,0,0,,0,,,1
GeoB1031-4,,-21.88,7.1017,-3105,South Atlantic,0.28,Bremen,Niebler et al. (in press),M.W.,May-03,3.35,0.28,0.99,4.38,5.37,0,0,0,0,0,,0.28,1.13,14.84,1.13,1.27,1.13,0,3.96,6.22,25.72,4.24,28.26,0,0,0,18.24,0.87,0.92,1.79,0,,0.44,0,0,0,0,0,0,0,8.06,0,0,0,,0,,420,3
GeoB1031-4,,-21.88,7.1017,-3105,South Atlantic,0.33,Bremen,Niebler et al. (in press),M.W.,May-03,2.82,0.15,0.73,2.27,3,1.17,0,0.01,0.01,0,,0.58,3.57,21.52,0.73,0,0,0,1.75,2.48,35.59,0.88,36.17,0,0,0,15.17,1.91,0.94,2.85,0,,1.04,0.88,0,0,0,0,0,0,5.25,0,0,0,,0,,543,3
GeoB1101-5,,1.6583,-10.98,-4588,South Atlantic,0.33,Bremen,Niebler et al. (in press),M.W.,May-03,1.76,0.35,0.35,9.59,9.94,0,3.87,10.64,14.51,0,,2.2,0.35,2.64,0.09,0.53,0,0,0,0,13.98,38.79,13.98,0,0,4.4,5.72,0,0.53,0.53,3.87,,0,0,0,0.18,0,0,0.18,0,0.18,0,0,0,,0,,636,3
GeoB1101-5,,1.6583,-10.98,-4588,South Atlantic,0.38,Bremen,Niebler et al. (in press),M.W.,May-03,2.48,0.78,0,4.17,4.17,0.13,6,7.56,13.56,0,,1.96,0.13,2.35,0,0.13,0,0,0,0,10.82,35.33,10.82,0,0,5.87,19.17,0,0.65,0.65,0.91,,0,0,0,0,0,0,0,0,0.13,1.43,0,0,,0,,559,3
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.78,Bremen,Niebler et al. (in press),M.W.,May-03,1.63,0,0,10.95,10.95,0.65,2.02,1.2,3.22,0,,1.2,0.44,19.17,0.87,0,2.61,0,0,0.44,14.71,7.3,15.36,0,0,0,23.97,0.11,1.47,1.58,2.34,,0,0.87,0,0,0,0,0,0,7.41,0,0,0,,0,,495,3
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.83,Bremen,Niebler et al. (in press),M.W.,May-03,1.18,0,3.5,4.66,8.16,0.36,1.75,2.59,4.34,0,,1.34,1.79,15.51,2.51,0,0,0,0,0.36,21.24,4.02,22.32,0,0,0,25.91,0,0.9,0.9,0.63,,0,0.72,0,0,0,0,0,0,9.41,0,0,0,,0,,,1
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,0.93,Bremen,Niebler et al. (in press),M.W.,May-03,0.87,0,0.92,7.48,8.4,0.34,1.53,1.12,2.65,0,,0.76,2.18,9.91,1.68,0,0.67,0,0,0,28.9,2.93,31.5,0,0,0,20.93,0,0.43,0.43,7.32,,0,0.67,0,0,0,0,0,0,8.07,0,0,0,,0,,,1
GeoB1105-4,,-1.665,-12.4283,-3225,South Atlantic,1.03,Bremen,Niebler et al. (in press),M.W.,May-03,1.57,0,1.13,5.16,6.29,0.25,6.48,1.07,7.55,0,,2.28,0.5,11.71,3.53,0,0.5,0,0,0.25,27.46,6.1,28.59,0,0,0,14.36,0,0.76,0.76,4.29,,0,0,0,0,0,0,0,0,10.96,0,0,0,,0,,,1
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.48,Bremen,Niebler et al. (in press),M.W.,May-03,2.47,0.25,1.23,12.95,14.18,0,7.27,4.32,11.59,0,,3.58,0,14.67,0.74,0.25,0.99,0,0,0.25,13.81,5.43,16.03,0,0,0.12,20.72,0,0.99,0.99,1.97,,0,0.12,0,0,0,0,0,0,5.67,0,0,0,,0,,587,3
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.53,Bremen,Niebler et al. (in press),M.W.,May-03,3.2,0.06,13.65,7.48,21.13,0.45,5.24,3.06,8.3,0,,2.1,0.68,14.28,0.91,0,0.91,0,0,0,17,3,17.45,0,0,0.93,18.58,0,0.96,0.96,2.52,,0,0.45,0,0,0,0,0,0,3.4,0,0,0,,0,,,1
GeoB1112-4,,-5.7783,-10.75,-3125,South Atlantic,0.58,Bremen,Niebler et al. (in press),M.W.,May-03,5.13,0.15,1.61,13.93,15.54,0,6.45,3.81,10.26,0,,2.93,0.88,13.2,0.44,0.29,0.15,0,0.59,0.29,11.58,6.01,13.93,0,0,0,20.97,0.15,1.47,1.62,2.35,,0,0,0,0,0,0,0,0,5.28,0,0,0,,0,,590,3
GeoB1115-4,,-3.5583,-12.58,-2921,South Atlantic,0.63,Bremen,Niebler et al. (in press),M.W.,May-03,3.05,0.1,3.46,11.51,14.97,0.31,3.97,2.34,6.31,0,,1.32,0.41,17.92,0,0.2,0.92,0,0.41,0.31,12.32,7.03,12.32,0,0,0.2,25.25,0,1.02,1.02,0.61,,0,0.61,0,0,0,0,0,0,6.01,0.71,0,0,,0,,690,3
GeoB1115-4,,-3.5583,-12.58,-2921,South Atlantic,0.68,Bremen,Niebler et al. (in press),M.W.,May-03,3.32,0,5.49,11.29,16.78,0,3.73,2.18,5.91,0,,1.76,0.93,20.62,0,0,0.31,0,0,0,4.87,14.51,4.87,0,0,0,21.04,0,0.52,0.52,1.76,,0.21,1.24,0,0,0,0,0,0,6.11,0.1,0,0,,0,,617,3
GeoB1117-2,,-3.815,-14.8967,-3984,South Atlantic,0.53,Bremen,Niebler et al. (in press),M.W.,May-03,2.54,0,2.28,14.47,16.75,0.25,19.8,0,19.8,0,,3.3,1.02,8.12,0,0,1.02,0,0,2.54,11.42,9.64,15.48,0,0,1.02,7.36,0,2.03,2.03,2.54,,0,0.25,0,0,0.25,0,0.25,0.25,5.84,0,0,0,,0,,394,3
GeoB1117-2,,-3.815,-14.8967,-3984,South Atlantic,0.58,Bremen,Niebler et al. (in press),M.W.,May-03,2.28,0,2.61,10.42,13.03,0.65,6.51,0,6.51,0,,2.61,1.3,8.14,0,0,2.6,0,6.51,0.33,6.84,6.51,11.73,0,0,2.61,19.87,0,3.26,3.26,2.28,,0,0,0,0.98,0,0,0.98,0,8.79,0,0,0,,0,,307,3
GeoB1117-2,,-3.815,-14.8967,-3984,South Atlantic,0.63,Bremen,Niebler et al. (in press),M.W.,May-03,1.91,0,0.09,6.44,6.53,0.87,5.48,1.57,7.05,0,,2,0,9.92,0.35,0.09,0.35,0,0,0.17,20.28,6.53,22.19,0,0,0,31.77,0,1.74,1.74,3.48,,0,0.35,0,0,0,0,0,0,4.7,0,0,0,,0,,593,3
GeoB1214-1,,-24.69,7.24,-3210,South Atlantic,0.23,Bremen,Niebler et al. (in press),M.W.,May-03,1.5,0,0,7.88,7.88,1.16,1.24,0.06,1.3,0.02,,1.32,0.29,19.21,0,0.26,1.68,0,1.03,3.36,30.37,0.39,31.4,0,0,0,15.83,2.37,0.24,2.61,0.53,,0.57,0.16,0,0,0,0,0,0,8.95,0,0.52,0,,0,,654,3
GeoB1214-1,,-24.69,7.24,-3210,South Atlantic,0.28,Bremen,Niebler et al. (in press),M.W.,May-03,1.3,0,0,7.66,7.66,0.35,0,0.15,0.15,0,,1.45,0.09,20.13,0.35,0.17,1.9,0,2.42,3.63,34.9,0.11,35.33,0,0,0,15.59,1.21,0.54,1.75,0.28,,0.87,0.76,0,0,0,0,0,0,5.71,0,0,0,,0,,688,3
GeoB1220-1,,-24.0333,5.3067,-2265,South Atlantic,0.33,Bremen,Niebler et al. (in press),M.W.,May-03,3.31,0.6,7.9,0,7.9,0,0.1,0,0.1,0,,1.02,1.8,17,0.8,0,1.6,0.8,0,3.4,36.21,0,36.21,0,0,0,12.8,3.31,2.43,5.74,0.2,,1.01,0.9,0,0,0,0,0,0,4.8,0,0,0.8,,0,,355,3
GeoB1220-1,,-24.0333,5.3067,-2265,South Atlantic,0.38,Bremen,Niebler et al. (in press),M.W.,May-03,2.11,0,9.06,0,9.06,0.85,0,0,0,0,,1.28,0.64,18.34,1.71,0,3.41,0,0,4.91,26.87,0,26.87,0,0,0,16.1,7.1,0.13,7.23,0.85,,0.87,1.07,0,0,0,0,0,0,4.69,0,0,0,,0,,395,3
GeoB1306-1,,-35.2067,-26.765,-4057,South Atlantic,0.19,Bremen,Niebler et al. (in press),M.W.,May-03,0.2,0.03,0,4.7,4.7,0,0,0,0,0,,0.1,0.01,14.02,0.1,0,0,0,0,0.41,60.78,0.1,60.78,0,0,0,13.99,3.23,0.05,3.28,0.01,,1.47,0,0.41,0,0,0,0,0,0.41,0,0,0,,0,,729,3
GeoB1309-2,,-31.6667,-28.6667,-3963,South Atlantic,0.18,Bremen,Niebler et al. (in press),M.W.,May-03,1.54,1.33,0.23,21.73,21.96,0.91,0.23,0.35,0.58,0,,0.46,7.55,4.8,8,0.46,1.83,0,0,0,16.47,0,17.16,0,0,0,13.62,11.23,0.6,11.83,0,,3.29,3.09,0,0,0,0,0,0,1.6,0,0,0,,0,,,1
GeoB1312-2,,-31.6617,-29.6567,-3436,South Atlantic,0.13,Bremen,Niebler et al. (in press),M.W.,May-03,1.19,0.7,0.94,27.12,28.06,0.5,1.45,0.5,1.95,0,,1.71,12.33,0.63,4.38,0,2.07,0,0,0.75,11.27,0,11.27,0,0,0,13.78,9.24,0.94,10.18,0,,2.68,5.07,0,0,0,0,0,0,2.75,0,0,0,,0,,,1
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,0.98,Bremen,Niebler et al. (in press),M.W.,May-03,3.17,0.18,16.39,7.31,23.7,0.18,3.44,1.67,5.11,0,,2.91,0.79,2.2,0,0.79,0.7,0.18,0,0,4.05,28.28,4.05,0,0,0,12.42,0,0,0,5.9,,0,0.62,0,0,0,0,0,0,7.75,1.06,0,0.18,,0,,645,3
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,1.03,Bremen,Niebler et al. (in press),M.W.,May-03,2.45,0.52,19.83,12.15,31.98,0.13,3.62,2.2,5.82,0,,2.71,0.26,2.58,0.13,0.71,2.2,0,0.13,0.13,2.07,25.78,2.07,0,0,0,10.34,0,0.19,0.19,2.65,,0.39,1.23,0,0,0.13,0,0.13,0,7.17,0.32,0,0,,0,,906,3
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,1.08,Bremen,Niebler et al. (in press),M.W.,May-03,2.07,0.47,14.21,14.77,28.98,0,2.16,3.86,6.02,0,,2.73,0.85,3.86,0.38,0.75,1.88,0,0,0,3.39,25.49,3.39,0,0,0,8.94,0,0,0,2.73,,0.28,0.75,0,0,0,0,0,0,9.69,0.75,0,0,,0,,724,3
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,1.13,Bremen,Niebler et al. (in press),M.W.,May-03,3.16,0,15.63,3.95,19.58,0,5.27,4.39,9.66,0,,3.6,0.35,1.84,0,0.09,2.81,0,0,0.53,13.43,23.27,13.43,0,0,0,15.54,0,0,0,3.51,,0,1.14,0,0,0,0,0,0,1.49,0,0,0,,0,,667,3
GeoB1701-4,,1.95,3.5517,-4162,South Atlantic,1.18,Bremen,Niebler et al. (in press),M.W.,May-03,2.92,0.24,9.98,9.73,19.71,0,4.14,1.7,5.84,0,,3.41,0,4.38,0,0,0.97,0.24,0,0.24,18.73,24.09,18.73,0,0,0,10.22,0,0,0,4.38,,0,1.22,0,0,0,0,0,0,3.41,0,0,0.24,,0,,411,3
