Event,Data_Source,Depth [m],Latitude,Longitude,O. universa,G. conglobatus,G. ruber ruber,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. adamsi,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. humilis,T. quinqueloba,N. pachyderma,N. dutertrei,N. incompta,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. truncatulinoides,G. crassaformis,G. hirsuta,G. scitula,D. anfracta,G. tumida,G. cultrata,C. nitida,G. glutinata,G. eastropacia,T. iota,G. uvula
RC13-17,margo,30,19.083,-170.067,2,33,,,0,7,40,,1,1,6,0,3,0,,0,0,3,,1,1,3,6,,8,0,0,,,,0,1,,,0
RC13-81,margo,10,-19.017,-124.233,4,231,,,46,103,3,,44,21,40,0,5,4,,0,0,4,,38,8,16,0,,16,0,0,,,,1,618,,,0
RC13-11,margo,50,-1.65,-103.633,3,0,,,0,4,0,,4,0,31,1,0,1,,0,0,121,,2,2,9,47,,9,0,0,,,,0,15,,,0
V 18-31,margo,25,-2.85,-126.2,0,0,,,0,1,0,,1,0,11,0,0,2,,0,0,69,,3,0,30,0,,3,0,0,,,,0,17,,,0
V 18-31,margo,15,3.167,-118.467,0,1,,,0,9,0,,3,0,2,0,1,0,,0,0,154,,2,0,15,0,,1,0,0,,,,0,4,,,0
V 19-29,margo,120,-3.583,-83.933,1,0,,,0,3,0,,1,0,330,0,1,1,,52,67,241,,0,0,0,213,,1,0,0,,,,0,10,,,0
V 19-53,margo,45,-17.017,-113.517,0,53,,,0,9,5,,2,1,3,0,0,0,,0,0,23,,65,0,101,0,,8,0,0,,,,0,30,,,0
V 19-55,margo,23,-17,-114.183,2,62,,,44,97,2,,33,11,68,0,2,12,,0,0,25,,85,3,91,5,,3,0,0,,,,0,630,,,0
V 19-64,margo,15,-16.933,-121.2,1,59,,,29,53,2,,16,7,24,1,1,4,,0,0,2,,20,4,14,0,,2,0,0,,,,1,340,,,0
V 19-65,margo,15,-16.65,-124.383,2,96,,,11,73,7,,29,16,19,0,2,4,,0,0,9,,50,11,36,1,,5,0,0,,,,1,530,,,0
V 19-96,margo,15,0.867,172,0,9,,,1,30,0,,12,0,33,0,0,0,,0,0,41,,2,0,87,0,,4,0,0,,,,0,34,,,0
V 20-11,margo,20,47.95,168.783,0,0,,,0,0,0,,0,0,14,0,0,0,,26,380,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
V 21-30,margo,250,-1.217,-89.683,7,1,,,2,4,0,,1,0,663,0,0,5,,50,4,233,,0,0,0,219,,1,0,2,,,,0,30,,,0
V 21-33,margo,45,-3.8,-92.083,2,0,,,0,1,0,,1,0,74,0,0,0,,0,0,212,,0,0,4,118,,1,0,0,,,,0,36,,,0
V 21-14,margo,70,37.683,163.033,1,0,,,0,0,0,,0,0,27,0,0,0,,2,16,6,,0,0,1,224,,0,0,0,,,,0,44,,,0
V 28-20,margo,20,2.767,-173.933,0,26,,,16,58,1,,28,10,125,0,0,46,,0,0,3,,8,0,73,0,,1,0,0,,,,1,220,,,0
V 28-20,margo,40,0.95,-179.417,2,12,,,14,77,0,,48,5,94,1,1,11,,0,0,49,,23,0,144,0,,12,0,1,,,,0,197,,,0
V 28-23,margo,20,-5.5,166.75,0,15,,,10,70,0,,20,16,70,1,1,14,,0,0,54,,1,1,26,0,,4,0,4,,,,0,232,,,0
V 28-23,margo,35,1.017,160.483,0,6,,,4,22,0,,21,7,39,1,0,6,,0,0,21,,4,0,36,0,,3,0,0,,,,1,63,,,0
V 28-23,margo,30,3.25,159.183,0,7,,,2,14,0,,23,5,30,0,0,2,,0,0,30,,5,0,52,0,,5,0,1,,,,0,56,,,0
V 28-24,margo,20,11.067,138.533,2,54,,,45,178,2,,48,4,100,1,4,17,,0,0,42,,0,9,8,0,,0,0,0,,,,3,140,,,0
V  28294,margo,4,28.433,139.967,28,5,,,28,98,1,,43,7,272,305,6,5,,2,4,90,,0,0,26,188,,75,0,19,,,,0,182,,,0
V  28304,margo,45,28.533,134.133,5,42,,,4,82,0,,29,17,167,65,11,1,,1,2,123,,0,1,23,113,,14,1,3,,,,0,90,,,0
V28-310,margo,40,25.417,125.633,2,16,,,65,9,0,,3,63,71,8,6,40,,1,0,44,,0,0,44,1,,3,0,0,,,,0,341,,,0
V 32126,margo,25,35.317,177.9,9,0,,,0,0,0,,4,0,182,0,2,0,,9,8,17,,0,0,0,179,,0,0,1,,,,0,17,,,0
V32-128,margo,32,36.467,177.167,12,0,,,0,0,0,,0,0,174,0,1,0,,16,74,7,,0,0,0,240,,0,0,0,,,,0,13,,,0
V  32139,margo,1,31.567,151.1,6,3,,,0,3,0,,3,0,30,5,1,0,,0,0,15,,0,0,3,237,,6,1,3,,,,3,0,,,0
RC10-62,margo,51,3.333,-101.717,1,0,,,1,7,0,,2,2,10,1,0,2,,0,0,105,,0,0,8,4,,6,0,0,,,,0,16,,,0
RC13110,margo,54,0.1,-95.65,0,0,,,0,1,0,,1,1,31,1,0,0,,2,0,212,,0,0,0,20,,14,0,6,,,,0,7,,,0
RC13115,margo,61,-1.633,-104.833,2,1,,,0,4,0,,4,1,26,1,0,0,,0,0,174,,2,1,10,22,,7,0,0,,,,0,9,,,0
V19-29,margo,120,-3.583,-83.933,7,0,,,0,3,0,,9,9,286,0,1,1,,38,30,391,,0,0,1,217,,5,0,0,,,,0,22,,,0
VNTRO1-8,margo,41,0.033,-110.483,5,0,,,1,9,0,,3,0,25,2,0,0,,0,0,235,,2,0,7,21,,42,0,1,,,,0,7,,,0
Y69-106p,margo,30,2.983,-86.55,3,0,,,3,1,0,,1,2,35,4,1,3,,3,0,100,,0,2,1,5,,0,0,5,,,,0,39,,,0
Y69-71P,margo,180,0.1,-86.483,1,0,,,0,2,0,,0,2,66,0,1,1,,0,0,141,,0,0,2,42,,0,0,2,,,,0,12,,,0
Y71-3-2,margo,20,7.167,-85.15,2,0,,,0,2,0,,7,0,35,0,0,0,,0,0,114,,0,2,2,0,,1,0,0,,,,0,40,,,0
y71-9-101,margo,63,-6.383,-106.933,1,0,,,0,13,0,,3,5,15,0,1,0,,0,0,151,,0,0,6,10,,3,0,0,,,,0,31,,,0
Y71-6-12,margo,49,-16.44,-77.56,4,0,,,0,0,0,,1,0,90,1,1,0,,15,117,119,,0,10,1,201,,0,0,7,,,,0,21,,,0
RR9702A-63TC,margo,16,-18.085,-79.04,5,0,,,1,0,0,,4,2,95,0,3,0,,0,22,55,,0,14,5,182,,0,0,10,,,,0,30,,,0
Y71-6-12,margo,46,-16.443,-77.563,4,0,,,1,1,0,,1,4,110,2,0,2,,1,35,46,,0,7,1,135,,0,0,4,,,,0,0,,,0
Y71-6-12,margo,50,-16.443,-77.563,4,0,,,0,0,0,,1,0,90,1,1,0,,15,120,73,,0,10,1,201,,0,0,7,,,,0,21,,,0
Y71-6-12,margo,56,-16.443,-77.563,12,0,,,1,0,1,,1,0,43,1,1,1,,1,34,56,,1,2,0,126,,2,0,4,,,,0,10,,,0
RR9702A-69TC,margo,70,-16.007,-76.378,1,0,,,0,0,0,,0,6,112,4,0,0,,48,69,24,,0,3,0,80,,0,0,23,,,,0,23,,,0
RR9702A-69TC,margo,80,-16.007,-76.378,8,0,,,0,0,0,,0,0,35,0,0,0,,8,39,37,,0,7,0,98,,0,0,8,,,,0,9,,,0
MD012416,margo,184.5,51.268,167.7255,0,0,,,0,0,0,,0,0,50,0,0,0,,0,255,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
MD012416,margo,190.5,51.268,167.7255,0,0,,,0,0,0,,0,0,54,0,0,0,,0,307,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
MD012416,margo,194.5,51.268,167.7255,0,0,,,0,0,0,,0,0,64,0,0,0,,0,326,0,,0,0,0,0,,0,0,0,,,,0,2,,,0
MD012416,margo,196.5,51.268,167.7255,0,0,,,0,0,0,,0,0,70,0,0,0,,0,307,0,,0,0,0,0,,0,0,0,,,,0,2,,,0
MD012416,margo,197.5,51.268,167.7255,0,0,,,0,0,0,,0,0,78,0,0,0,,0,338,0,,0,0,0,0,,0,0,0,,,,0,2,,,0
MD012416,margo,200.5,51.268,167.7255,0,0,,,0,0,0,,0,0,52,0,0,0,,0,267,0,,0,0,0,0,,0,0,0,,,,0,2,,,0
MD012416,margo,202.5,51.268,167.7255,0,0,,,0,0,0,,0,0,60,0,0,0,,0,327,0,,0,0,0,0,,0,0,0,,,,0,1,,,0
MD012416,margo,205.5,51.268,167.7255,0,0,,,0,0,0,,0,0,41,0,0,0,,0,307,0,,0,0,0,0,,0,0,2,,,,0,0,,,0
MD012416,margo,209.5,51.268,167.7255,0,0,,,0,0,0,,0,0,55,0,0,0,,0,270,0,,0,0,0,0,,0,0,0,,,,0,2,,,0
ODP Site 883D,margo,116,51.199,167.768,0,0,,,0,0,0,,0,0,115,0,0,0,,0,1138,0,,0,0,0,0,,0,0,1,,,,0,0,,,0
ODP Site 883D,margo,120,51.199,167.768,0,0,,,0,0,0,,0,0,42,0,0,0,,0,323,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
ODP Site 883D,margo,123,51.199,167.768,0,0,,,0,0,0,,0,0,59,0,0,0,,0,379,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
ODP Site 883D,margo,126,51.199,167.768,0,0,,,0,0,0,,0,0,56,0,0,0,,0,385,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
ODP Site 883D,margo,130,51.199,167.768,0,0,,,0,0,0,,0,0,47,0,0,0,,2,313,0,,0,0,0,0,,0,0,0,,,,0,2,,,0
ODP Site 883D,margo,133,51.199,167.768,0,0,,,0,0,0,,0,0,55,0,0,0,,0,359,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
ODP Site 883D,margo,136,51.199,167.768,0,0,,,0,0,0,,0,0,40,2,0,0,,0,412,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
ODP Site 883D,margo,140,51.199,167.768,0,0,,,0,0,0,,0,0,25,0,0,0,,0,412,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
ODP Site 883D,margo,143,51.199,167.768,0,0,,,0,0,0,,0,0,85,0,0,0,,0,1069,0,,0,0,0,0,,0,0,0,,,,0,0,,,0
ODP Site 883D,margo,145,51.199,167.768,0,0,,,0,0,0,,0,0,40,0,0,0,,0,396,0,,0,0,0,0,,0,0,2,,,,0,0,,,0
DGKS9603,margo,169,28.148,127.271,21,15,,,0,125,4,,32,28,62,42,0,65,,69,0,484,,0,0,92,42,,45,12,0,,,,0,45,,,0
DGKS9603,margo,171,28.148,127.271,26,17,,,0,129,5,,34,32,67,39,0,62,,73,0,468,,0,0,95,45,,46,9,0,,,,0,46,,,0
DGKS9603,margo,173,28.148,127.271,33,15,,,0,116,4,,39,26,75,33,0,72,,69,0,482,,0,0,101,43,,48,7,0,,,,0,52,,,0
DGKS9603,margo,175,28.148,127.271,42,18,,,0,151,6,,44,34,304,59,0,312,,167,0,695,,0,0,118,48,,55,5,0,,,,0,84,,,0
DGKS9603,margo,177,28.148,127.271,34,17,,,0,150,8,,47,33,297,56,0,324,,179,0,706,,0,0,131,52,,56,8,0,,,,0,83,,,0
DGKS9603,margo,180,28.148,127.271,33,22,,,4,141,6,,43,35,289,45,0,293,,166,0,723,,0,0,150,58,,52,10,0,,,,0,68,,,0
DGKS9603,margo,182,28.148,127.271,36,16,,,0,128,4,,36,41,249,39,0,256,,133,0,698,,0,0,145,57,,47,9,0,,,,0,63,,,0
DGKS9603,margo,184,28.148,127.271,43,14,,,0,138,4,,45,32,223,32,0,249,,154,0,687,,0,0,145,63,,49,11,0,,,,0,56,,,0
DGKS9603,margo,186,28.148,127.271,38,13,,,0,148,5,,41,38,204,37,0,257,,166,0,679,,0,0,170,59,,45,13,0,,,,0,52,,,0
DGKS9603,margo,188,28.148,127.271,40,14,,,0,131,0,,54,35,183,44,0,213,,165,0,588,,0,0,113,54,,50,10,0,,,,0,57,,,0
DGKS9603,margo,191,28.148,127.271,35,12,,,0,133,0,,50,29,168,39,0,227,,173,0,565,,0,0,120,58,,52,14,0,,,,0,47,,,0
DGKS9603,margo,193,28.148,127.271,31,15,,,0,131,0,,47,35,189,42,0,245,,180,0,589,,0,0,126,63,,44,12,0,,,,0,53,,,0
DGKS9603,margo,195,28.148,127.271,30,10,,,0,131,0,,42,38,183,38,0,252,,189,0,563,,0,0,143,64,,50,16,0,,,,0,64,,,0
DGKS9603,margo,197,28.148,127.271,25,16,,,0,143,0,,36,42,197,42,0,264,,193,0,587,,0,0,149,57,,54,14,0,,,,0,83,,,0
DGKS9603,margo,199,28.148,127.271,23,12,,,0,116,0,,28,33,148,37,0,208,,144,0,506,,0,0,120,54,,49,8,0,,,,0,67,,,0
DGKS9603,margo,201,28.148,127.271,31,23,,,0,125,0,,33,38,152,24,0,216,,157,0,493,,0,0,147,59,,42,10,2,,,,0,65,,,0
DGKS9603,margo,204,28.148,127.271,27,16,,,0,113,0,,27,32,145,32,0,182,,116,0,414,,0,0,102,52,,38,7,0,,,,0,57,,,0
DGKS9603,margo,206,28.148,127.271,28,18,,,0,119,0,,33,31,119,37,0,126,,123,0,448,,0,0,116,55,,43,11,0,,,,0,65,,,0
DGKS9603,margo,208,28.148,127.271,28,16,,,0,122,0,,36,35,125,41,0,135,,132,0,424,,0,0,128,52,,52,8,0,,,,0,66,,,0
DGKS9603,margo,210,28.148,127.271,32,29,,,0,217,0,,46,16,220,44,0,162,,146,0,408,,0,0,126,27,,15,16,0,,,,0,85,,,0
DGKS9603,margo,212,28.148,127.271,30,19,,,0,167,0,,33,24,202,42,0,98,,158,0,432,,0,0,111,49,,28,8,0,,,,0,63,,,0
DGKS9603,margo,215,28.148,127.271,33,17,,,0,146,0,,28,28,189,37,0,103,,162,0,465,,0,0,126,40,,33,8,0,,,,0,59,,,0
CHAT 1K,margo,40,-41.58333333,-171.5,2,0,,,0,0,0,,0,1,44,8,0,0,,10,1,8,,0,0,0,106,,11,0,1,,,,0,12,,,0
CHAT 1K,margo,50,-41.58333333,-171.5,2,0,,,0,0,0,,0,0,71,15,0,0,,14,0,21,,0,0,0,89,,18,0,0,,,,0,11,,,0
A015558,margo,0.58,8.983333333,51.73333333,2,0,0,18,0,1,1,0,1,0,40,2,0,12,0,1,3,55,,0,3,19,0,0,7,0,2,0,12,20,0,36,0,0,0
DSDP site 594,margo,2.52,-45.5235,174.948,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,495,0,,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0
E26-001,margo,0.61,-40.28333333,168.34,3,0,0,0,0,0,0,0,0,0,105,0,0,0,0,37,0,2,,0,0,0,56,60,0,0,0,0,0,0,0,11,0,0,0
E27-030,margo,0.6,-45.0667,147.2283,2,0,0,1,0,0,0,0,0,0,120,2,0,0,0,17,46,0,,0,0,0,45,12,0,0,2,0,0,0,0,26,0,0,0
E45-027,margo,0.3,-43.23333333,105.5833333,0,0,0,0,0,0,0,0,0,0,157,0,1,0,0,12,50,0,,0,0,0,38,13,0,0,1,0,0,0,0,11,0,0,0
E45-078,margo,0.31,-45.037,114.348,1,0,0,0,0,0,0,0,0,0,155,0,0,0,1,17,43,0,,0,0,0,52,4,1,0,1,0,0,0,0,11,0,0,0
E45-102,margo,0.24,-33.61666667,113.5833333,0,0,0,19,4,2,0,0,4,0,37,13,0,0,0,0,6,4,,0,0,0,152,16,0,1,0,0,0,1,0,41,0,0,0
E48-011,margo,0.22,-29.7,97.58333333,4,6,0,53,0,0,0,0,0,1,27,1,0,0,1,0,4,1,,0,0,0,123,6,10,0,0,0,4,7,0,13,0,0,0
E48-035,margo,0.355,-30.35333333,86.485,7,7,0,58,0,2,0,0,7,2,50,7,0,0,0,0,6,0,,0,0,0,93,56,0,7,5,0,0,0,0,3,0,0,0
E55-006,margo,0.4,-38.8533,141.0633,0,0,0,0,0,0,0,0,0,0,71,2,0,18,0,62,0,0,,0,0,0,35,47,0,3,0,0,0,0,0,62,0,0,0
FR1/94-GC03,margo,0.3,-44.2606,149.9963889,0,0,0,0,0,1,0,0,1,0,169,2,0,0,0,32,35,0,,0,0,0,38,14,0,5,0,0,0,0,0,15,0,0,0
MD88-770,margo,1.12,-46.01666667,96.46666667,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,206,0,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ODP122-760A,margo,0.39,-16.922,115.5413333,6,4,0,100,2,17,1,0,21,1,2,5,0,4,0,0,1,37,,0,0,4,8,10,2,0,3,0,7,23,1,63,0,0,0
ODP122-762B,margo,0.8,-19.88733333,112.254,5,2,0,71,3,15,1,0,15,0,7,8,0,2,0,0,0,30,,3,3,1,30,5,4,3,1,0,1,14,0,40,0,0,0
P69,margo,3.9,-40.39666667,177.9966667,0,0,0,3,0,0,0,0,0,0,62,4,0,0,0,6,39,12,,0,0,0,61,4,12,1,1,0,0,0,0,17,0,0,0
Q200,margo,0.59,-45.995,172.025,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,251,0,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Q585,margo,0.73,-49.70333333,182.075,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,325,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
R657 (S),margo,0.5,-42.53333333,181.5083333,1,0,0,0,0,1,0,0,0,0,60,0,0,0,0,51,24,19,,0,0,0,107,23,1,2,0,0,0,0,0,32,0,0,0
R657 (W),margo,0.5,-42.53333333,181.5083333,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,33,24,6,,0,0,0,77,22,8,0,3,0,0,0,0,15,0,0,0
RC08-039,margo,0.7,-42.88333333,42.35,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,11,223,0,,0,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0
RC08-078,margo,0.5,-44.78333333,184.2333333,6,0,0,0,0,0,0,0,0,1,68,5,0,0,0,26,11,18,,0,1,0,74,23,0,0,0,0,0,0,0,14,0,0,0
RC09-148,margo,0.19,-29.68,113.7,0,0,0,71,1,23,0,0,5,0,14,17,0,0,0,0,0,15,,0,0,0,160,3,1,2,2,0,0,0,0,34,0,0,0
RC09-150 (P),margo,0.8,-31.28333333,114.5516667,3,0,0,11,3,8,0,0,5,8,25,11,3,8,0,0,0,3,,0,0,3,153,14,0,5,11,0,0,0,0,22,0,0,0
RC09-150 (W),margo,0.9,-31.28333333,114.5516667,0,0,0,11,0,1,0,0,0,2,29,9,0,0,0,0,4,3,,0,0,0,171,5,0,0,3,0,0,0,0,44,0,0,0
RC09-161,margo,1.6,19.56833333,59.595,14,0,0,33,0,17,0,0,5,14,87,2,1,8,1,1,0,20,,0,0,6,0,0,1,0,5,0,0,19,0,60,0,0,0
RC09-162,margo,0.5,19.07666667,60.42166667,10,0,0,39,2,23,0,0,7,5,66,11,0,7,0,0,0,41,,0,1,11,0,0,0,0,0,0,9,24,0,46,0,0,0
RC10-131,margo,0.3,-14.53,157.97,3,4,0,89,8,22,2,0,17,9,15,8,2,3,0,0,0,15,,0,0,8,0,1,0,0,0,0,1,1,0,71,0,0,0
RC11-120,margo,0.74,-43.51666667,79.86666667,0,0,0,0,0,0,0,0,0,1,76,0,0,0,0,5,179,0,,0,0,0,5,6,1,0,0,0,0,0,0,3,0,0,0
RC11-121,margo,0.4,-39.71666667,82.25,1,0,0,2,0,0,0,0,0,0,96,36,0,0,0,28,27,0,,0,0,0,19,13,0,1,2,0,0,0,0,25,0,0,0
RC11-126,margo,0.2,-30.06666667,94.41666667,3,1,0,46,4,4,0,0,3,5,80,6,3,4,0,3,0,0,,0,0,0,51,39,0,2,21,0,0,0,0,13,0,0,0
RC11-134,margo,0.1,-33.06666667,110.55,3,0,0,36,2,1,0,0,1,6,85,10,0,1,1,3,0,2,,0,0,0,76,18,2,1,5,0,0,0,0,28,0,0,0
RC11-145,margo,0.29,-25.48333333,110.0166667,2,2,0,56,1,8,0,0,4,1,6,11,0,0,0,0,0,13,,0,0,0,158,5,2,0,0,0,0,1,0,62,0,0,0
RC11-147,margo,0.6,-19.05833333,112.75,3,3,0,59,11,11,0,0,3,11,14,16,0,24,0,0,0,19,,0,0,5,27,8,3,0,3,0,3,14,0,54,0,0,0
RC12-109,margo,0.4,-25.88333333,157.8666667,3,1,0,97,5,22,0,0,16,7,34,89,0,3,0,0,0,8,,0,0,6,105,5,9,1,1,0,0,2,0,29,0,0,0
RC12-113 (A),margo,0.5,-24.88,163.52,5,2,0,96,12,18,0,0,8,8,17,64,2,4,0,0,0,6,,0,0,3,43,13,5,3,2,0,0,1,0,16,0,0,0
RC12-339,margo,0.7,9.133333333,90.03333333,1,6,0,34,4,18,1,0,4,5,33,3,1,4,0,0,0,54,,0,2,16,0,0,3,0,0,0,2,67,0,38,0,0,0
RC13-038,margo,0.4,-14.51666667,177.1,13,12,0,200,14,34,0,0,20,19,13,7,3,6,0,3,0,11,,0,0,3,0,0,2,0,1,0,5,1,0,154,0,0,0
RC14-007,margo,0.25,-35.51666667,44.75,1,0,0,0,0,4,0,0,9,0,48,30,0,0,0,2,3,39,,0,0,0,68,9,1,4,4,0,0,0,0,16,0,0,0
RC14-009,margo,0.7,-39.01666667,47.88333333,1,0,0,3,0,0,0,0,1,0,77,2,0,1,0,26,17,3,,0,0,0,35,5,0,2,0,0,0,0,0,6,0,0,0
RC14-029,margo,0.2,-10.92333333,88.315,8,5,0,73,11,38,0,0,4,2,9,0,0,9,0,0,0,32,,3,2,9,3,0,3,0,0,0,3,33,1,47,0,0,0
RC14-035,margo,0.4,-0.833333333,89.95,2,2,0,69,0,30,0,0,7,9,21,1,0,6,0,0,0,25,,14,3,25,0,0,5,0,0,0,4,45,0,31,0,0,0
RC14-037,margo,0.4,1.466666667,90.16666667,0,2,0,78,10,19,0,0,11,10,20,2,0,4,1,0,0,26,,10,5,20,0,0,0,0,1,0,1,28,0,52,0,0,0
RC17-069,margo,0.6,-31.5,32.6,3,0,0,45,3,9,0,0,6,12,27,3,6,3,0,0,0,18,,0,0,0,95,3,0,6,3,0,0,3,0,45,0,0,0
RC17-073,margo,0.3,-32.11666667,36.01666667,4,0,0,40,2,9,0,0,9,16,42,3,1,9,0,2,1,3,,0,0,1,92,3,0,9,9,0,0,1,0,33,0,0,0
RC17-098,margo,0.53,-13.21666667,65.61666667,5,7,0,78,3,22,0,0,11,7,10,3,0,7,0,0,0,29,,1,1,5,0,1,0,2,4,0,21,12,0,68,0,0,0
RC17-108,margo,0.4,-10.508,57.72,1,0,0,67,15,9,0,0,2,6,51,22,0,32,0,0,1,15,,0,2,6,0,1,1,0,2,0,1,8,1,50,0,0,0
RC17-113,margo,0.3,15.033,66.097,4,1,0,67,1,21,0,0,2,6,14,10,3,2,0,0,0,28,,0,5,46,0,0,0,0,1,0,7,35,0,46,0,0,0
RS067-GC10,margo,0.505,-38.86166667,140.1,0,0,0,1,0,0,0,0,0,0,138,0,0,0,0,21,15,1,,0,0,0,30,42,0,0,4,0,0,0,0,14,0,0,0
RS096-GC21,margo,0.29,-23.77216667,108.5006667,0,1,0,51,6,8,0,0,11,2,9,12,1,1,0,0,0,9,,0,0,0,75,6,2,1,3,0,0,3,0,40,0,0,0
RS147-GC07,margo,0.985,-45.15,146.28,0,0,0,1,0,0,0,0,0,2,207,11,0,0,104,0,122,1,,0,0,0,42,7,0,1,3,0,0,0,0,42,0,0,0
RS147-GC14,margo,0.25,-46.45,145.24,0,0,0,0,0,0,0,0,0,0,96,5,0,0,0,22,101,0,,0,0,0,19,5,0,0,0,0,0,0,0,26,0,0,0
RS147-GC31,margo,0.69,-44.53,149.05,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,55,36,0,,0,0,0,35,10,0,0,0,0,0,0,0,15,0,0,0
S794,margo,1.39,-35.31,177.9966667,1,0,0,0,1,0,0,0,2,0,46,15,1,0,0,27,14,40,,0,0,0,52,24,20,0,0,0,0,0,0,30,0,0,0
SHI9006,margo,5.99,-4.33223,117.59584,6,0,0,134,1,1,0,0,12,6,53,0,0,13,0,0,8,37,,0,0,14,0,0,0,0,5,0,0,13,0,152,0,0,0
SHI9016,margo,0.52,-8.455833333,128.238,4,1,0,126,6,19,0,0,18,6,24,5,0,23,0,0,1,59,,13,0,27,0,4,7,0,5,0,1,27,0,85,0,0,0
SHI9022,margo,5.79,-11.35444,122.03799,3,0,0,99,6,11,0,0,12,1,14,0,0,15,0,0,0,32,,0,0,14,0,2,5,0,1,0,0,29,0,79,0,0,0
SHI9034,margo,8.3,-9.09764,111.00721,2,0,0,31,4,2,0,0,8,2,61,0,0,8,0,0,2,108,,0,0,16,0,1,4,0,4,0,2,31,1,31,0,0,0
SO36-07,margo,0.73,-42.25,144.75,0,0,0,3,0,15,0,0,0,0,109,1,0,0,0,19,65,0,,0,0,0,33,25,0,0,2,0,0,0,0,30,0,0,0
SO36-21,margo,0.2,-43.8,145.5,4,0,0,1,0,0,0,0,0,0,140,0,0,0,0,4,24,0,,0,0,0,50,17,0,0,0,0,0,0,0,25,0,0,0
SO36-39,margo,0.3,-45.87,145.99,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,3,68,0,,0,0,0,28,4,0,0,0,0,0,0,0,27,0,0,0
SO36-47,margo,0.5,-46.87,145.98,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,9,72,0,,0,0,0,40,3,0,0,0,0,0,0,0,20,0,0,0
